Timestamp,Do you believe that a hotdog falls under the category of a sandwich?,What is the rationale behind your opinion?,Are you currently enrolled as an undergraduate or graduate student at the University of Virginia?,What is your field of study or major?,What state or country were you born in?,"If you are an undergraduate, what is your current academic year?",Gender: How do you identify?,"You preferred to self-describe for gender; please, share your identity below"
1/16/2025 12:20,No,"looking at gastronomy through the lens of a cube, a sandwich is considered to have carbs on the top and bottom faces and in between has the meats and the condiments. The hotdog on the other hand, has a bun, often connected along one side, which doesn’t meet the “top and bottom” carb criteria—it’s more like a carb hinge than separate planes. It warps the cube, creating a U-shaped prism instead of a true rectangular solid.",No,international relations global business,Colorado,Fourth year,Man,
1/16/2025 12:22,No,A sandwich consists of 2 separate pieces to hold its contents. A hotdog does not fit this criteria ,Yes,Commerce ,Virginia,Fourth year,Man,
1/16/2025 12:24,yes,its between bread👍,Yes,Computer Science and Economics,Virginia,Fourth year,Woman,
1/16/2025 12:41,Yes ,a sandwich is 2 pieces of bread with food in the middle of the 2 bread,Yes,astrophysics ,mauritius ,Fourth year,Woman,
1/16/2025 13:23,Yesssssss,"Subway is a piece of sliced bread that's still one, a hotdog is the same but with just different fillings.",Yes,Computer Science,Virginia,Fourth year,Man,
1/16/2025 13:43,Yes,a food between two breads,Yes,German & Global Studies,USA,Second year,Woman,
1/16/2025 13:48,No ,connector piece (makes it a tacoh,No,Political Science & Global Health,CA,,Woman,
1/16/2025 14:45,YES,"Hotdogs consist of bread, sausage, and possibly additional topping. Since a hotdog is essentially bread with ingredients inside, I believe it should be classified as a sandwich.",Yes,Computer science,Usa,Third year,Man,
1/16/2025 14:46,No,If the bread is connected in the hotdog bun then it's a wrap not a sandwich,Yes,Computer Science,US,Third year,Man,
1/16/2025 14:47,Yes,It has bread surrounding the filling ,Yes,Biomedical engineering,Virginia ,Fourth year,Woman,
1/16/2025 14:51,No,If I asked for a sandwich and they gave me a hotdog I would be like “what the freak man”,Yes,Mechanical engineering/mathematics/computer science,Virginia,Third year,Man,
1/16/2025 14:56,Yes,"Its something wrapped but not fully wrapped w bread
",Yes,Cs,Ny,Third year,Man,
1/16/2025 15:22,Y,"Look at a hoagie, hot dogs can also have several things like cheese, relish and other condiments/toppings similar to other sandwiches",Yes,Biochemistry,Virginia,Third year,Man,
1/16/2025 18:14,N,"Sandwiches are on bread or rolls. Hot dogs, and hamburgers for that matter, are served on buns. ",No,Biological Sciences ,Illinois ,,Man,
1/16/2025 18:29,No,A hot dog is its own category - separate from sandwiches. ,No,,Illinois ,,Woman,
1/16/2025 21:09,no,"Through technicality only, a hotdog is a sandwhich. The vibes, the aura, and the essence of a hot dog is not sandwhich like at all. A hot dog is its own category and so therefore cannot be a sandwich. ",Yes,Public Policy & Leadership,"Virginia, USA",Fourth year,Woman,
1/16/2025 21:17,No,"Sandwiches don’t really have an official definition, but we can recognize a sandwich when we see one. A hot dog is its own separate thing, with easily recognizable properties. I wouldn’t say a burger is a sandwich either, because burgers are their own unique thing. A sandwich needs bread and filling, but not everything that contains bread and filling is a sandwich ",Yes,Mechanical and Aerospace Engineering ,Illinois ,,Man,
1/16/2025 21:47,No ,"A hotdog bun that has not been completely separated is a continuous piece of bread— not 2 pieces of bread, which technically breaks the definition of a sandwhich. Although if the bun is broken in 2, it can be considered a sandwhich. Both answers are correct & can be defended. ",Yes,Psychology,U.S.,Fourth year,Woman,
